source_row,alias,matched_product_id,matched_product_name,match_type,confidence
20.11.:6,Платформа из фанеры 200мм под люстру 2шт,225,Платформа из фанеры 12мм под люстру квадрат 280*280мм с вырезом d40мм,exact,1.0
20.11.:7,Еврокраб стеновой 16м.п,763,Профиль EUROKRAAB стеновой теневой 2.0м + соединитель прямой,exact,1.0
20.11.:8,Подвес прямой 0.9мм 30шт,1161,Подвес прямой 0.09 * 300мм,exact,1.0
20.11.:12,Бокс черный 30*40 - 6 м,746,Брус черный для профиля атом 30*40*1.6 2.0м,exact,1.0
20.11.:14,Обвод 25мм 3шт,243,Обвод трубы пластина D27 L210 толщ. 2.5мм белый,exact,1.0
20.11.:15,Конус декоративный 32мм 1шт,256,Заглушка трубы D32 Белый конус,exact,1.0
20.11.:16,Конус декоративный 25мм 1шт,257,Заглушка трубы D27 Белый конус,exact,1.0
20.11.:17,Лента uni 4000k 10 м.п,1403,"Лента светодиодная Elite DLT2835-140t-24v-UNI-3,3-19,8w-10mm-4000K",exact,1.0
20.11.:19,Диммер 1шт,1469,"Контроллер Dumlight Ampe CNT-1-8-DIM, 8A-5-36vDC (для одноцветной ленты)",exact,1.0
20.11.:21,Торцевые заглушки на flexy 30мм 4шт,392,TOREC 30 Торцевая заглушка черный пластик для световой линии FLEXY LINE 30 ПФ 6838,exact,1.0
20.11.:22,Уголки 70х70 30шт,1173,Уголок крепёжный усиленный 70*70мм,exact,1.0
20.11.:24,3 кольца 55,94,Протекторное кольцо - D 055мм,exact,1.0
20.11.:25,Кольца 20е 3шт,88,Протекторное кольцо - D 020мм,exact,1.0
20.11.:26,Обвод 32 1шт,242,Обвод трубы пластина D32 L210 толщ. 2.5мм белый,exact,1.0
20.11.:27,Крааб бокс - 1 палка,760,Профиль EUROKRAAB BOX Теневой усиленный потолочный профиль,exact,1.0
20.11.:28,Евро крааб - 1 палка,763,Профиль EUROKRAAB стеновой теневой 2.0м + соединитель прямой,exact,1.0
20.11.:29,Перо - 2шт,1215,"Перо/Сверло по кафелю черное ""ST""- 6мм",exact,1.0
20.11.:30,Уголков еще штук 20 (100/125),1163,Кронштейн (уголок металлический) 100х125 белый (4/5) 288 шт/уп,exact,1.0
20.11.:31,Ам1 2мп заглушки тандем,841,"Профиль АМ1 (1 ряд Гардина) МАТОВЫЙ БЕЛЫЙ (2,0м) 10м/у",exact,1.0
20.11.:32,Ам1 2мп заглушки тандем,417,Комплект торцевых заглушек АМ1 (на 2 торца профиля) БЕЛЫЕ,exact,1.0
20.11.:35,Саморезы 35-25е по пачке,1182,Саморезы 3.5*25 черные (2.72кг),exact,1.0
20.11.:36,Гвозди 19е,1193,№19 Гвозди кованые для монтажного пистолета,exact,1.0
20.11.:37,Дюбеля пачку,1207,Дюбель 6*35- синий (1000шт),exact,1.0
20.11.:39,вставка 150м,41,Вставка белая TL Готика,exact,1.0
20.11.:43,торцы для пк 5 пар,415,Комплект торцевых заглушек ПК14 (на 2 торца профиля) - Белый,exact,1.0
20.11.:44,вставка в пк белая 40м,46,"Вставка RU узкая для ПК14, ПК16, АМ1 - Белая",exact,1.0
20.11.:46,хилберг 3шт,1219,Алмазная коронка 6мм HILBERG М14 HH606,exact,1.0
20.11.:48,люстра фанера 8шт,225,Платформа из фанеры 12мм под люстру квадрат 280*280мм с вырезом d40мм,exact,1.0
20.11.:50,55-105 4шт,67,Круглая универсальная платформа 055-105мм под светильник,exact,1.0
20.11.:51,стена тяж 100м,702,Профиль ТЯЖЕЛЫЙ (145г/м) АЛ стеновой гарпунный перфорированный  АТ-2461 2.0м,exact,1.0
20.11.:52,подвесы 60шт,1160,Подвес прямой 0.07 * 300мм,exact,1.0
20.11.:53,уголки 125/150 - 100шт,1164,Кронштейн (уголок металлический) 125х150 белый (5/6) 288 шт/уп,exact,1.0
20.11.:56,флекси шторка 2м,391,TOREC 15 Торцевая заглушка черный пластик для световой линии FLEXY LINE 15 ПФ 7140,exact,1.0
20.11.:57,"провод 60м 2/1,5",1176,Кабель/провод ВВГнг 2*1.5 ГОСТ,exact,1.0
20.11.:58,ваго 3ки пачка,1203,Ваго 3х канальные,exact,1.0
20.11.:60,перчатки хб 12 пар,1238,"Перчатки х/б 4н, 10кл, Белая, пер008",exact,1.0
